sample_id,VIM,CDH2,SNAI1,SNAI2,ZEB1,ZEB2,FN1,TWIST1,MMP2,MMP9,TGFB1,COL1A1,COL1A2,ACTA2,FAP,PDGFRB,CDH1,EPCAM,KRT5,KRT14,KRT8,KRT18,DSP,CLDN1,CLDN4,OCLN,TJP1,ACTB,GAPDH,TUBB,RPL13A,B2M,HPRT1,PPIA,YWHAZ,subtype_full,subtype
TCGA-CR-7383-01,14.9215,6.4841,6.9269,11.4451,9.2438,9.3489,16.1369,7.5165,14.1542,11.3394,11.643,17.9084,16.9887,11.7317,10.1255,12.4602,12.3131,10.4952,18.2136,18.2909,10.035,11.2078,14.7832,13.0328,10.2756,4.9869,10.8733,16.8256,16.9559,15.0936,13.0209,16.2094,10.4062,12.0382,15.3033,Mesenchymal,MS
TCGA-CR-7398-01,13.198,8.9583,6.2494,11.1862,8.8282,9.0793,16.055,6.9635,13.6455,11.0387,10.6115,17.1491,16.3706,11.5144,9.2706,12.1381,13.384,13.1087,17.1038,14.6478,14.9347,13.4548,16.3003,12.7737,9.9393,7.7778,11.1999,16.4777,17.4388,15.1201,12.753,14.3135,9.451,12.0083,14.9514,Classical,Other
TCGA-CR-6481-01,14.5517,5.4806,5.7642,9.9784,8.5042,10.2983,14.0223,6.2773,11.2009,13.1373,11.7267,15.056,14.5252,10.3554,7.6453,11.6819,13.076,8.4845,18.6338,16.7993,13.1385,11.9921,15.3871,12.7445,11.9095,9.4614,11.7135,17.3291,16.571,15.1404,13.448,16.22,9.6843,11.9734,14.1936,Atypical,Other
TCGA-CR-7395-01,14.2681,5.1266,6.8283,11.0661,8.6808,9.3055,14.8105,6.9257,13.0786,12.2769,12.0694,16.8855,15.9712,10.9519,8.5837,11.983,13.8041,7.0488,19.344,19.6712,8.0236,8.0511,16.9955,9.1418,11.0801,3.1606,11.6004,17.6532,16.2928,14.4108,13.1599,16.4826,9.5349,12.59,14.9747,Basal,Other
TCGA-CV-7427-01,13.2078,2.3664,6.1838,10.2088,7.3264,8.7933,12.9503,5.4634,10.6942,10.1487,11.7492,13.9803,13.2928,9.2807,8.8944,10.0007,14.0659,6.5783,18.8255,18.7852,9.9101,10.3127,17.1706,12.6015,12.2299,9.25,12.0637,17.3803,15.8314,14.0724,13.0216,16.9171,9.3232,12.1018,15.7149,Basal,Other
TCGA-CV-6436-01,14.1096,3.397,5.931,10.7683,7.0713,7.4455,11.1828,7.7385,10.6276,10.0141,11.8247,14.366,12.9512,10.7275,6.1405,9.9607,13.0177,8.6165,19.9097,20.7927,10.8032,13.2824,15.7998,11.7753,11.7298,6.8152,10.4653,18.6032,17.8815,15.0283,14.0783,15.8772,10.4773,13.9616,15.8004,Basal,Other
TCGA-CV-7177-01,13.9554,6.5804,6.7792,10.5507,9.6511,8.8881,16.8757,7.7865,14.2569,12.4259,11.4972,18.3872,17.6511,12.5493,9.9426,12.848,14.8011,10.6954,18.0465,17.7058,9.6932,10.6725,16.7547,12.7023,13.7506,7.9188,12.056,17.0021,16.9054,14.1512,12.4163,14.1925,9.8627,12.3854,14.7975,Classical,Other
TCGA-DQ-5631-01,13.0462,10.2495,5.8928,11.38,8.7318,8.7597,18.0923,7.2025,12.2486,11.5201,11.3221,16.3899,16.2124,11.4318,10.4307,11.9647,13.1959,10.5297,18.0307,17.9939,13.5078,12.6455,15.0763,13.2854,9.0814,3.0222,11.1568,17.116,15.7191,14.8249,11.8205,14.9212,10.5249,12.4427,15.3748,Mesenchymal,MS
TCGA-CR-7365-01,13.4804,7.0355,6.742,11.4133,8.9167,8.803,17.1271,7.9596,14.1346,14.0044,12.602,17.7761,16.8461,10.2069,9.8577,11.598,13.8102,8.7138,19.4625,19.748,9.9685,11.5733,17.4025,12.3953,11.5973,7.0683,11.842,17.4716,16.3756,14.3128,12.412,15.7798,9.7192,12.4016,15.6669,Basal,Other
TCGA-CV-6937-01,13.3532,5.8972,6.3139,10.7999,7.5175,7.7337,14.1668,7.7205,12.7901,12.8823,12.3731,17.2778,16.0286,11.7061,9.7503,10.7988,12.3092,11.2933,17.5906,16.8208,12.7526,12.4708,15.224,12.5138,10.8108,6.0452,10.273,17.5055,16.9631,14.1776,14.3497,15.1077,9.9719,12.5616,15.7716,Classical,Other
